General Area,Specialty Area(s),College,Primary Department,Researcher,,
ENERGY,Solar,Engineering,Electrical Engineering,Daniel Kirschen,,
ENERGY,Solar,Engineering,Electrical Engineering,Scott Dunham,,
ENERGY,Solar,Engineering,Electrical Engineering,Scott Dunham,,
ENERGY,Solar,Engineering,Materials Science and Engineering,Alex K.-Y. Jen,,
ENERGY,Solar,Engineering,Materials Science and Engineering,Christine Luscombe,,
ENERGY,Solar,Engineering,Materials Science and Engineering,Guozhong Cao,,
ENERGY,Solar,Engineering,Materials Science and Engineering,Hong Ma,,
ENERGY,Solar,Engineering,Materials Science and Engineering,Qifeng Zhang,,
ENERGY,Solar,Engineering,Mechanical Engineering,J. Devin Mackenzie,,
ENERGY,Solar,Engineering,Mechanical Engineering,Jiangyu Li,,
ENERGY,Solar,Engineering,Mechanical Engineering,Minoru Taya,,
ENERGY,Solar,Arts & Sciences,Physics,Fernando Vila,,
ENERGY,Solar,Arts & Sciences,Physics,Gerald Seidler,,
ENERGY,Solar,Arts & Sciences,Physics,John Rehr,,
ENERGY,Tidal/Hydrokinetics,Engineering,Civil and Environmental Engineering,Jim Thomson,,
ENERGY,Tidal/Hydrokinetics,Engineering,Mechanical Engineering,Alberto Aliseda,,
ENERGY,Tidal/Hydrokinetics,Engineering,Mechanical Engineering,Brian Polagye,,
ENERGY,Tidal/Hydrokinetics,Engineering,Mechanical Engineering,James Riley,,
ENERGY,Tidal/Hydrokinetics,Engineering,Mechanical Engineering,Philip Malte,,
ENERGY,Tidal/Hydrokinetics,Engineering,Mechanical Engineering,Steve Brunton,,
ENERGY,Tidal/Hydrokinetics,Environment,Physical Oceanography,Mitsuhiro Kawase,,
ENERGY,Wind,Engineering,Civil and Environmental Engineering,Dorothy Reed,,
ENERGY,Wind,Engineering,Electrical Engineering,Daniel Kirschen,,
ENERGY,Wind,Engineering,Electrical Engineering,Mohamed El-Sharkawi,,
ENERGY,Wind,Arts & Sciences,Evans School of Public Affairs,Allison Cullen,,
NATURAL RESOURCE DEGRADATION,carbon cycling,Engineering,Environmental Engineering,David Butman,,
NATURAL RESOURCE DEGRADATION,carbon cycling,Engineering,"Environmental Engineering, Hydrology and Hydrodynamics",Rebecca B. Neumann,,
NATURAL RESOURCE DEGRADATION,human health impacts,Engineering,"Environmental Engineering, Hydrology and Hydrodynamics",Rebecca B. Neumann,,
NATURAL RESOURCE DEGRADATION,pollution,Engineering,"Environmental Engineering, Hydrology and Hydrodynamics",Rebecca B. Neumann,,
NATURAL RESOURCE DEGRADATION,soil resources,Engineering,"Environmental Engineering, Hydrology and Hydrodynamics",Rebecca B. Neumann,,
NATURAL RESOURCE DEGRADATION,water management,Engineering,"Environmental Engineering, Hydrology and Hydrodynamics",Rebecca B. Neumann,,
NATURAL RESOURCE DEGRADATION,water quality,Engineering,Evironmental Engineering ,*Michael T. Brett,,
NATURAL RESOURCE DEGRADATION,water resources,Engineering,Environmental Engineering,David Butman,,
NATURAL RESOURCE DEGRADATION,water resources,Engineering,Hydrology and Hydrodynamics ,Jessica D. Lundquist,,
PLANNING,sustainable infrastructure,Engineering,Structural Engineering and Mechanics,Dorothy A. Reed,,
PLANNING,urban planning,Engineering,Transportation Engineering,Cynthia Chen,,
PLANNING,wastewater management,Engineering,Construction and Environmental Engineering,Jessica Kaminsky,,
PLANNING,water management,Engineering,Construction and Environmental Engineering,Jessica Kaminsky,,
POLICY,corporate social responsibility,Arts & Sciences,Political Science,Aseem Prakash,,
POLICY,environmental regulations,Arts & Sciences,Political Science,*Peter J. May,,
POLICY,pollution,Arts & Sciences,Political Science,Aseem Prakash,,
POLICY,sustainable communities,Arts & Sciences,"Political Science, Center for Communication and Civic Engagement",W. Lance Bennett,,
POLLUTION/CLEANUP,air pollution,Engineering,Environmental Engineering,Julian D. Marshall,,
POLLUTION/CLEANUP,human health impacts,Engineering,Environmental Engineering,Julian D. Marshall,,
POLLUTION/CLEANUP,nuclear waste containment,Engineering,Geotechincal Engineering,*Robert D. Holtz,,
POLLUTION/CLEANUP,soil resources,Engineering,Environmental Engineering,Seana Davidson,,
POLLUTION/CLEANUP,soil resources,Engineering,Environmental Engineering,Seana Davidson,,
POLLUTION/CLEANUP,soil resources,Engineering,Geotechincal Engineering,*Robert D. Holtz,,
POLLUTION/CLEANUP,waste management,Engineering,Environmental Engineering,*Michael Dodd,,
POLLUTION/CLEANUP,waste management,Engineering,Environmental Engineering,Seana Davidson,,
POLLUTION/CLEANUP,wastewater management,Engineering,Environmental Engineering,Heidi Gough,,
POLLUTION/CLEANUP,wastewater management,Engineering,Environmental Engineering,Seana Davidson,,
POLLUTION/CLEANUP,wastewater treatment,Engineering,Environmental Engineering,David Stensel,,
POLLUTION/CLEANUP,wastewater treatment,Engineering,Environmental Engineering ,Stuart E. Strand,,
POLLUTION/CLEANUP,water quality,Engineering,Environmental Engineering,*Michael Dodd,,
POLLUTION/CLEANUP,water quality,Engineering,Environmental Engineering,Edward Kolodziej,,
POLLUTION/CLEANUP,water quality,Engineering,Environmental Engineering,Gregory V. Korshin,,
REGULATION,environmental regulations,Arts & Sciences,Political Science,*Peter J. May,,
RESOURCE MANAGEMENT,water management,Engineering,Hydrology and Hydrodynamics ,Erkan Istanbulluoglu,,
RESOURCE MANAGEMENT,water management,Engineering,Hydrology and Hydrodynamics ,Stephen J. Burges,,
SOCIAL,sustainable communities,Arts & Sciences,Political Science,Karen Litfin,,
SOCIAL,sustainable communities,Arts & Sciences,"Political Science, Center for Communication and Civic Engagement",W. Lance Bennett,,
TRANSPORTATION,consumption choices,Engineering,Transportation Engineering,Don MacKenzie,,
TRANSPORTATION,electric vehicles,Engineering,Transportation Engineering,Don MacKenzie,,
TRANSPORTATION,pollution : transportation planning,Engineering,Transportation Engineering,Anne Goodchild,,
TRANSPORTATION,solar power,Engineering,Construction Engineering ,Joe P. Mahoney,,
TRANSPORTATION,sustainable infrastructure,Engineering,Construction Engineering,Steve Muench,,
TRANSPORTATION,sustainable infrastructure,Engineering,Construction Engineering ,Joe P. Mahoney,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
